sample_type,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset
municipal sludge,Beijing,Beijing,Ciprofloxacin,fluoroquinolones,460,950,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Ciprofloxacin,fluoroquinolones,817.5,NA,μg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Difloxacin,fluoroquinolones,0.7,11,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Enrofloxacin,fluoroquinolones,21,95,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Enrofloxacin,fluoroquinolones,68.75,NA,μg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Erythromycin A dihydrate,macrolides,39,710,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Fleroxacin,fluoroquinolones,130,320,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Fleroxacin,fluoroquinolones,70,NA,μg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Gatifloxacin,fluoroquinolones,352.5,NA,μg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Josamycin,macrolides,NA,0.3,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
